,_time,type,identifier,experiment,start,end
5197,2023-10-04 13:38:58.688039+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5198,2023-10-04 13:38:58.688062+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5199,2023-10-04 13:38:58.688082+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5200,2023-10-04 13:38:58.688192+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5201,2023-10-04 13:38:58.688696+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5202,2023-10-04 13:38:58.688743+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5203,2023-10-04 13:38:58.688946+00:00,3.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5204,2023-10-04 13:38:58.688988+00:00,3.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5205,2023-10-04 13:38:58.689032+00:00,3.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5206,2023-10-04 13:38:58.689080+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5207,2023-10-04 13:38:58.689225+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5208,2023-10-04 13:38:58.689674+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5209,2023-10-04 13:38:58.689683+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5210,2023-10-04 13:38:58.689690+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5211,2023-10-04 13:38:58.689697+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5212,2023-10-04 13:38:58.689705+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5213,2023-10-04 13:38:58.689712+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5214,2023-10-04 13:38:58.689719+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5215,2023-10-04 13:38:58.689831+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5216,2023-10-04 13:38:58.690478+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5217,2023-10-04 13:38:58.690489+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5218,2023-10-04 13:38:58.690517+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5219,2023-10-04 13:38:58.690554+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5220,2023-10-04 13:38:58.690579+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5221,2023-10-04 13:38:58.690636+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5222,2023-10-04 13:38:58.690644+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5223,2023-10-04 13:38:58.690655+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5224,2023-10-04 13:38:58.690661+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5225,2023-10-04 13:38:58.690668+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
