,experiment,propagationTime,messageOverhead,messageReceived,graft,prune,iwant,ihave,messageBandwidth,totalBandwidth,gossipReceived,gossipBandwidth,topology,d,dlo,dhi,dscore,dlazy,dout,gossipFactor,interval,topics,topicSize
15993,780,804.0,120.0,18.0,0.0,0.0,0.0,66.0,3.6,63.6,208.0,41.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
15994,780,261.0,180.0,28.0,0.0,0.0,0.0,71.0,5.6,87.8,265.0,53.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
15995,780,265.6666666666667,141.0,24.0,0.0,0.0,0.0,92.0,4.8,74.6,202.0,40.4,validator,8,6,12,4,8,2,0.25,3.0,16,1
15996,780,259.0,194.0,30.0,0.0,0.0,0.0,67.0,6.0,97.8,252.0,50.4,validator,8,6,12,4,8,2,0.25,3.0,16,1
15997,780,312.0,155.0,23.0,0.0,0.0,0.0,71.0,4.6,76.0,228.0,45.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
15998,780,270.0,180.0,28.0,0.0,0.0,0.0,92.0,5.6,92.0,225.0,45.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
15999,780,336.0,160.0,25.0,0.0,0.0,0.0,67.0,5.0,82.6,240.0,48.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
16000,780,272.5,175.0,27.0,0.0,0.0,0.0,71.0,5.4,85.4,146.0,29.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
16001,780,233.5,170.0,26.0,0.0,0.0,0.0,92.0,5.2,87.2,212.0,42.4,validator,8,6,12,4,8,2,0.25,3.0,16,1
16002,780,271.0,89.0,14.0,0.0,0.0,0.0,67.0,2.8,49.8,234.0,46.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16003,780,302.0,164.0,25.0,0.0,0.0,0.0,71.0,5.0,80.2,136.0,27.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
16004,780,322.0,164.0,26.0,0.0,0.0,0.0,92.0,5.2,84.8,218.0,43.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
16005,780,394.0,80.0,13.0,0.0,0.0,0.0,67.0,2.6,45.8,239.0,47.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16006,780,395.0,169.0,26.0,0.0,0.0,0.0,71.0,5.2,82.6,142.0,28.4,validator,8,6,12,4,8,2,0.25,3.0,16,1
16007,780,237.5,169.0,26.0,0.0,0.0,0.0,92.0,5.2,86.8,216.0,43.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
16008,780,382.0,86.0,13.0,0.0,0.0,0.0,67.0,2.6,48.2,239.0,47.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16009,780,253.0,169.0,26.0,0.0,0.0,0.0,69.0,5.2,82.2,142.0,28.4,validator,8,6,12,4,8,2,0.25,3.0,16,1
16010,780,203.5,170.0,26.0,0.0,0.0,0.0,91.0,5.2,87.0,217.0,43.4,validator,8,6,12,4,8,2,0.25,3.0,16,1
16011,780,862.0,86.0,13.0,0.0,0.0,0.0,67.0,2.6,48.2,230.0,46.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
16012,780,301.5,168.0,26.0,0.0,0.0,0.0,71.0,5.2,82.2,185.0,37.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
16013,780,270.5,162.0,25.0,0.0,0.0,0.0,91.0,5.0,83.4,213.0,42.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
16014,780,275.0,122.0,19.0,0.0,0.0,0.0,67.0,3.8,65.2,214.0,42.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16015,780,261.5,164.0,26.0,0.0,0.0,0.0,71.0,5.2,80.6,160.0,32.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
16016,780,372.0,147.0,23.0,0.0,0.0,0.0,92.0,4.6,76.8,213.0,42.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
16017,780,339.0,101.0,16.0,0.0,0.0,0.0,67.0,3.2,55.4,210.0,42.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
